Country,Area(s),Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Autism Types Included
Canada,Quebec,1 to 17,2014-2015,"1,464,600","16,940",12.2,,,,,"ASD (autistic disorder, childhood disintergrative disorder, PDD, PDD-NOS, Rett syndrome)"
USA,California,5,2017,,,11.8,,,,,autism disorder
Italy,Pisa,7 to 9,,"10,138",81,7.9,,,,52,ASD (not specified)
China,Shanghi,3 to 12,2014,"74,252",203,0.758,,,,,ASD (not specified)
Bangladesh,Sirajganj district,1.5 to 3,2016,"5,286",4,0.75,,,,,ASD (not specified)
Spain,Tarragona,3 to 5,,"1,358",21,15.5,,,,,ASD (not specified)
China,Jilin City; Jiamusi City; Shenzen city,6 to 10,2013,"7,349",77,10.8,,,,,autism
USA,Nationwide,3 to 17,2016,"43,031","1,229",27.9,,,,,ASD (not specified)
USA,Colorado; Wisconsin,8,2012 & 2014,"152,259","1,913",12.6,,,,,"autistic disorder, PDD-NOS including atypical autism or Asperger syndrome"
USA,Nationwide,3 to 17,2009-2017,"88,530","1,550",17.4,,,,,"ASD (autism, Asperger syndrome, PDD)"
USA,Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin,4,2014,"70,887","1,208",17,,,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
Oman,,0 to 14,2011-2015,"837,655","1,705",2.04,,,,,ASD (not specified)
Qatar,Nationwide,6 to 11,2015-2018,"142,855",844,11.4,,42.8,,19,ASD (not specified)
Taiwan,Nationwide,7 to 14,2015-2017,"4,816",52,10,,,,,ASD (not specified)
Vietnam,Hanoi; Thai Binh province; Hoa Binh province,1.5 to 2.5,2017,"17,277",130,7.52,,,,,ASD (not specified)
Iran,Nationwide,6 to 18,,"29,737",37,1.8,,,,,ASD (not specified)
Spain,Catalonia,2 to 17,2017,"1,326,666","15,466",12.3,,105.6,96,,"autistic disorder, childhood disintegrative disorder, other specified pervasive development disorder, PDD-NOS"
